sample_id,batch_id,collection_timestamp,feed_type,moisture_pct,protein_pct,fiber_pct,energy_mcal_per_kg,mineral_deficiency_index,urea_pct,sand_silica_pct,aflatoxin_ppb,fungal_load_index,mould_index_pct,storage_temperature_c,ph,sampling_depth_cm,device_id,firmware_version,measurement_repeat,spoilage_flag,adulteration_type,quality_status,split
F000001,B005504,2025-01-01 00:00:00.000000000,Feed Mash,12.71,15.38,17.45,2.32,11.35,2.46,0.49,1.95,0.0,10.3,24.15,,29.1,DEV-0133,1.1.0,3,0,None,Moderate,train
F000002,B007018,2025-01-01 00:29:51.419713990,Silage,70.05,7.84,32.52,1.78,14.26,1.8,6.76,3.56,5.97,35.96,31.84,4.89,13.2,DEV-0123,1.1.0,2,0,None,Moderate,train
F000003,B006311,2025-01-01 00:59:42.839427980,Feed Mash,15.25,15.34,,3.4,11.77,1.47,2.06,3.03,4.3,5.67,24.79,,5.2,DEV-0101,1.0.0,2,0,None,Moderate,train
F000004,B007215,2025-01-01 01:29:34.259141971,Cattle Feed Pellet,7.91,15.07,12.09,3.15,17.01,2.46,0.61,10.17,0.0,20.48,25.31,,5.3,DEV-0028,1.0.0,1,0,None,Good,train
F000005,B007621,2025-01-01 01:59:25.678855961,Cattle Feed Pellet,10.67,14.07,15.61,2.57,24.61,0.69,0.51,61.53,9.11,88.0,42.08,,42.5,DEV-0005,1.1.0,1,0,Mould/Fungal Contamination,Unsafe,validation
F000006,B006199,2025-01-01 02:29:17.098569952,Feed Mash,13.37,18.27,17.02,2.59,8.61,4.33,0.96,5.43,1.98,24.9,27.42,,38.4,DEV-0095,1.1.0,2,0,None,Good,train
F000007,B003431,2025-01-01 02:59:08.518283942,Cattle Feed Pellet,11.11,15.81,13.27,2.52,14.23,6.46,2.26,36.52,7.93,33.39,33.29,,32.7,DEV-0006,1.0.0,3,0,None,Poor,train
F000008,B008498,2025-01-01 03:28:59.937997933,Silage,68.17,10.32,26.63,2.3,18.84,0.73,0.22,3.7,3.43,26.48,30.45,4.89,34.4,DEV-0121,1.2.0,3,0,None,Good,train
F000009,B001752,2025-01-01 03:58:51.357711923,Silage,60.95,7.98,24.77,2.4,0.0,1.27,0.33,0.58,2.09,0.0,35.02,4.96,17.4,DEV-0124,1.0.0,2,0,None,Good,train
F000010,B008498,2025-01-01 04:28:42.777425914,Silage,68.89,7.66,26.93,2.5,11.84,0.27,5.31,5.87,6.68,16.36,27.95,5.34,1.2,DEV-0017,1.1.0,3,0,None,Moderate,train
F000011,B003346,2025-01-01 04:58:34.197139904,Cattle Feed Pellet,8.08,20.53,13.34,,9.24,0.44,0.24,6.05,1.13,34.0,35.22,,4.8,DEV-0090,1.1.0,1,0,None,Moderate,train
F000012,B006694,2025-01-01 05:28:25.616853895,Silage,62.15,9.55,28.26,2.14,12.49,0.0,1.47,5.07,1.85,0.0,30.29,5.27,23.0,DEV-0008,1.0.0,3,0,None,Good,train
F000013,B003537,2025-01-01 05:58:17.036567885,Cattle Feed Pellet,10.61,26.03,14.22,2.65,8.84,2.93,0.0,0.84,3.97,10.94,27.6,,51.6,DEV-0044,1.2.0,3,0,None,Good,train
F000014,B000722,2025-01-01 06:28:08.456281876,Cattle Feed Pellet,15.42,22.14,14.9,2.96,10.02,1.09,0.82,8.32,5.08,55.02,26.66,,6.6,DEV-0142,1.1.0,1,0,Mould/Fungal Contamination,Poor,train
F000015,B004537,2025-01-01 06:57:59.875995866,Silage,59.7,10.27,22.7,2.33,8.37,1.03,0.79,0.5,1.89,4.02,23.32,4.73,41.0,DEV-0001,1.1.0,2,0,None,Good,validation
F000016,B004856,2025-01-01 07:27:51.295709856,Silage,75.49,10.11,24.98,2.14,10.05,1.53,0.8,0.78,0.34,3.45,30.11,4.8,59.9,DEV-0007,1.0.0,1,0,None,Poor,test
F000017,B000735,2025-01-01 07:57:42.715423847,Cattle Feed Pellet,10.48,15.16,,2.6,18.36,1.07,0.53,1.62,2.86,27.09,25.62,,2.4,DEV-0044,1.1.0,1,0,None,Good,train
F000018,B004728,2025-01-01 08:27:34.135137837,Silage,63.9,9.87,22.05,2.21,6.79,0.58,0.08,5.5,0.0,33.52,24.36,5.3,56.3,DEV-0041,1.2.0,2,0,None,Good,test
